uid,age,age_group,profession,marital_status,education,default,housing,loan,gender,balance,membership,charges,customer_contacts,attrition
1005332,32,30s,technician,married,graduate,no,no,no,female,$100k - $250k,platinum,56,1,0
1005333,36,30s,technician,single,graduate,no,yes,no,male,Over $250k,platinum,152,2,0
1005334,45,40s,administration,married,graduate,no,no,no,female,Over $250k,platinum,158,0,0
1005335,27,20s,consulting,single,graduate,no,yes,no,male,$50k - $100k,gold,23,1,0
1005336,37,30s,administration,single,graduate,no,yes,no,female,$100k - $250k,platinum,41,5,0
1005337,57,50s,self_employed,single,college,no,yes,no,male,$10k - $50k,silver,93,2,0
1005338,25,20s,unemployed,divorced,high school,no,no,no,female,Under $10k,silver,204,3,1
1005339,45,40s,management,married,graduate,no,yes,no,male,Over $250k,platinum,139,0,0
1005340,32,30s,management,single,high school,no,yes,no,female,$10k - $50k,silver,145,0,0
1005341,32,30s,consulting,divorced,graduate,no,yes,no,female,Over $250k,platinum,178,2,0
1005342,35,30s,manufacturing,married,graduate,no,yes,no,female,$10k - $50k,silver,112,8,0
1005343,33,30s,management,single,college,no,yes,no,male,$50k - $100k,gold,138,0,0
1005344,28,20s,unemployed,divorced,graduate,no,yes,no,female,Under $10k,silver,338,3,1
1005345,59,50s,management,married,graduate,no,no,no,female,Over $250k,platinum,166,5,0
1005346,43,40s,manufacturing,single,high school,no,yes,no,female,Over $250k,platinum,58,0,0
1005347,26,20s,manufacturing,single,graduate,no,yes,yes,female,$100k - $250k,platinum,54,1,0
1005348,29,20s,unemployed,divorced,high school,no,no,no,female,Under $10k,silver,254,3,1
1005349,60,60s,manufacturing,married,graduate,no,no,no,female,Over $250k,platinum,157,0,1
1005350,59,50s,retired,single,high school,no,yes,no,male,Over $250k,platinum,44,0,0
1005351,34,30s,technician,married,graduate,no,yes,no,male,$50k - $100k,gold,172,9,0
1005352,28,20s,manufacturing,married,graduate,no,yes,no,male,$50k - $100k,gold,48,0,0
1005353,30,30s,technician,single,high school,no,no,no,female,$100k - $250k,platinum,3,7,0
1005354,31,30s,manufacturing,married,graduate,no,no,yes,male,$100k - $250k,platinum,120,5,0
1005355,42,40s,management,single,high school,no,yes,no,male,Over $250k,platinum,119,0,0
1005356,30,30s,consulting,single,graduate,no,no,yes,female,Over $250k,platinum,101,0,0
1005357,35,30s,manufacturing,married,graduate,no,no,no,male,Over $250k,platinum,13,0,1
1005358,42,40s,consulting,married,graduate,no,yes,no,male,$50k - $100k,gold,4,5,0
1005359,34,30s,manufacturing,married,graduate,no,yes,no,female,$100k - $250k,platinum,169,2,0
1005360,55,50s,retired,single,high school,no,no,yes,female,Over $250k,platinum,65,0,0
1005361,61,60s,retired,married,graduate,no,no,no,female,$100k - $250k,platinum,142,2,0
1005362,28,20s,self_employed,single,graduate,no,no,no,male,Over $250k,platinum,99,5,0
1005363,50,50s,management,divorced,high school,no,yes,no,male,$50k - $100k,gold,341,4,1
1005364,28,20s,administration,divorced,high school,no,yes,no,female,$10k - $50k,silver,271,3,1
1005365,42,40s,entrepreneur,married,graduate,no,yes,yes,female,$50k - $100k,gold,74,0,0
1005366,53,50s,entrepreneur,divorced,high school,no,yes,no,female,$100k - $250k,platinum,8,0,0
1005367,49,40s,management,married,high school,no,no,no,female,$10k - $50k,silver,39,2,0
1005368,48,40s,management,single,high school,no,no,no,male,$10k - $50k,silver,9,0,0
1005369,41,40s,manufacturing,divorced,graduate,no,no,no,female,Over $250k,platinum,27,0,1
1005370,23,20s,administration,divorced,high school,no,yes,no,female,$10k - $50k,silver,258,3,1
1005371,32,30s,technician,married,graduate,no,yes,no,male,Over $250k,platinum,37,2,0
1005372,44,40s,manufacturing,single,college,no,yes,yes,male,$50k - $100k,gold,88,0,0
1005373,30,30s,technician,single,high school,no,yes,no,male,Over $250k,platinum,68,0,0
1005374,30,30s,manufacturing,married,graduate,no,yes,no,female,Over $250k,platinum,11,0,0
1005375,59,50s,executive,married,graduate,no,no,no,female,Over $250k,platinum,165,0,0
1005376,21,20s,student,single,graduate,no,no,no,female,$50k - $100k,gold,15,7,0
1005377,39,30s,management,single,high school,no,yes,no,male,Over $250k,platinum,64,0,0
1005378,47,40s,consulting,single,graduate,no,yes,no,male,$100k - $250k,platinum,33,2,0
1005379,54,50s,executive,married,graduate,no,yes,yes,female,Over $250k,platinum,37,1,0
1005380,34,30s,technician,married,graduate,no,no,no,male,Over $250k,platinum,67,1,0
1005381,29,20s,management,single,graduate,no,no,no,male,$50k - $100k,gold,104,8,0
1005382,34,30s,manufacturing,single,high school,no,no,no,male,$50k - $100k,gold,119,1,0
1005383,57,50s,technician,divorced,graduate,no,yes,no,male,$50k - $100k,gold,340,4,1
1005384,44,40s,technician,divorced,graduate,no,yes,yes,male,$10k - $50k,silver,13,1,0
1005385,52,50s,administration,divorced,graduate,yes,yes,no,female,$10k - $50k,silver,338,3,1
1005386,29,20s,student,single,high school,no,no,no,male,$100k - $250k,platinum,137,2,0
1005387,50,50s,manufacturing,married,graduate,no,yes,no,female,Over $250k,platinum,120,0,0
1005388,33,30s,technician,married,graduate,no,no,no,male,Over $250k,platinum,127,1,0
1005389,29,20s,self_employed,single,high school,no,yes,no,male,Over $250k,platinum,76,0,0
1005390,26,20s,unemployed,divorced,high school,no,no,no,female,Under $10k,silver,325,3,1
1005391,37,30s,management,divorced,graduate,no,yes,no,male,$100k - $250k,platinum,30,0,0
1005392,45,40s,manufacturing,married,graduate,no,no,no,male,$10k - $50k,silver,64,2,0
1005393,33,30s,technician,married,high school,no,yes,no,male,$50k - $100k,gold,10,0,0
1005394,51,50s,executive,married,graduate,no,no,no,female,Over $250k,platinum,123,1,0
1005395,54,50s,management,married,unknown,no,yes,no,female,$100k - $250k,platinum,119,2,0
1005396,28,20s,consulting,single,graduate,no,yes,no,female,$50k - $100k,gold,46,0,0
1005397,33,30s,management,single,high school,no,yes,no,female,$100k - $250k,platinum,89,2,0
1005398,32,30s,administration,single,graduate,no,yes,no,male,$50k - $100k,gold,18,0,0
1005399,55,50s,administration,divorced,high school,no,yes,no,female,$10k - $50k,silver,279,3,1
1005400,57,50s,retired,married,graduate,no,yes,no,female,Over $250k,platinum,128,0,0
1005401,22,20s,unemployed,divorced,graduate,no,no,no,female,$10k - $50k,silver,298,3,1
1005402,43,40s,technician,married,graduate,no,no,no,female,Over $250k,platinum,0,0,0
1005403,35,30s,technician,married,graduate,no,yes,no,female,$100k - $250k,platinum,83,2,0
1005404,31,30s,administration,single,graduate,no,yes,no,male,$100k - $250k,platinum,137,0,0
1005405,32,30s,administration,single,high school,no,no,no,male,$100k - $250k,platinum,0,2,0
1005406,28,20s,management,married,high school,no,yes,no,female,$50k - $100k,gold,179,1,0
1005407,48,40s,manufacturing,married,college,no,no,yes,female,$10k - $50k,silver,32,2,0
1005408,36,30s,consulting,married,graduate,no,no,no,male,$50k - $100k,gold,44,2,0
1005409,32,30s,management,single,graduate,no,yes,no,male,Over $250k,platinum,170,7,0
1005410,51,50s,manufacturing,married,high school,no,yes,no,male,$50k - $100k,gold,49,2,0
1005411,31,30s,entrepreneur,single,graduate,no,no,no,male,$10k - $50k,silver,58,1,0
1005412,56,50s,management,married,high school,no,yes,no,male,$10k - $50k,silver,39,2,0
1005413,40,40s,technician,married,graduate,no,yes,no,male,Over $250k,platinum,125,1,0
1005414,58,50s,management,divorced,unknown,no,no,no,male,$100k - $250k,platinum,8,8,0
1005415,47,40s,consulting,single,graduate,no,yes,no,female,$50k - $100k,gold,146,0,0
1005416,33,30s,manufacturing,single,high school,no,yes,no,female,Over $250k,platinum,90,0,0
1005417,37,30s,management,married,high school,no,no,no,male,$50k - $100k,gold,47,1,0
1005418,43,40s,unemployed,divorced,graduate,no,yes,no,male,Over $250k,platinum,104,2,1
1005419,51,50s,manufacturing,married,college,no,no,no,male,$10k - $50k,silver,43,0,0
1005420,37,30s,entrepreneur,single,high school,no,no,no,male,Over $250k,platinum,176,0,0
1005421,30,30s,management,single,high school,no,yes,no,female,$100k - $250k,platinum,106,9,1
1005422,29,20s,consulting,married,graduate,no,no,no,female,Over $250k,platinum,51,2,0
1005423,39,30s,management,single,high school,no,yes,no,female,$10k - $50k,silver,53,2,0
1005424,53,50s,administration,divorced,graduate,no,yes,no,female,$10k - $50k,silver,246,4,1
1005425,40,40s,consulting,married,graduate,no,no,no,male,Over $250k,platinum,139,0,0
1005426,52,50s,manufacturing,divorced,graduate,no,yes,no,female,$50k - $100k,gold,240,4,1
1005427,50,50s,management,married,high school,no,yes,no,male,$100k - $250k,platinum,174,2,0
1005428,22,20s,unemployed,divorced,high school,no,no,no,female,Under $10k,silver,337,3,1
1005429,55,50s,technician,single,graduate,no,yes,yes,female,$100k - $250k,platinum,8,0,0
1005430,25,20s,administration,divorced,graduate,no,yes,yes,female,$10k - $50k,silver,336,3,1
1005431,47,40s,retired,divorced,graduate,no,no,no,male,$100k - $250k,platinum,143,0,0
1005432,49,40s,retired,single,unknown,no,no,no,male,$10k - $50k,silver,6,0,0
1005433,20,20s,unemployed,divorced,high school,no,yes,no,female,Under $10k,silver,352,3,1
1005434,23,20s,unemployed,divorced,graduate,no,yes,no,female,Under $10k,silver,247,3,1
1005435,32,30s,technician,married,high school,no,no,no,male,$10k - $50k,silver,78,2,0
1005436,51,50s,manufacturing,married,graduate,no,yes,yes,male,$10k - $50k,silver,10,2,0
1005437,50,50s,administration,divorced,graduate,no,yes,no,female,$10k - $50k,silver,201,3,1
1005438,27,20s,administration,divorced,high school,no,no,no,female,$10k - $50k,silver,235,3,1
1005439,37,30s,administration,single,college,no,yes,no,female,$10k - $50k,silver,96,2,0
1005440,23,20s,unemployed,divorced,college,no,yes,no,female,Under $10k,silver,250,3,1
1005441,45,40s,executive,married,college,no,yes,no,male,$50k - $100k,gold,166,5,0
1005442,61,60s,retired,married,high school,no,no,no,male,$50k - $100k,gold,50,6,0
1005443,58,50s,executive,married,graduate,no,yes,no,female,Over $250k,platinum,49,0,0
1005444,54,50s,management,married,college,no,yes,no,female,$10k - $50k,silver,58,1,0
1005445,53,50s,manufacturing,single,college,no,yes,no,male,$10k - $50k,silver,16,0,0
1005446,38,30s,technician,married,graduate,no,yes,no,female,$100k - $250k,platinum,56,2,0
1005447,30,30s,technician,single,high school,no,no,no,female,$10k - $50k,silver,148,1,0
1005448,48,40s,administration,married,graduate,no,yes,no,male,$50k - $100k,gold,171,0,0
1005449,33,30s,technician,single,high school,no,no,no,female,$10k - $50k,silver,56,1,0
1005450,53,50s,self_employed,single,graduate,no,yes,yes,female,$50k - $100k,gold,110,0,0
1005451,36,30s,technician,single,high school,no,yes,no,female,$10k - $50k,silver,31,0,0
1005452,44,40s,manufacturing,married,unknown,no,yes,no,female,$100k - $250k,platinum,137,2,0
1005453,49,40s,management,married,high school,no,no,no,male,$10k - $50k,silver,80,0,0
1005454,36,30s,manufacturing,married,graduate,no,no,no,female,Over $250k,platinum,124,0,0
1005455,36,30s,manufacturing,divorced,graduate,no,yes,no,female,$50k - $100k,gold,93,0,0
1005456,27,20s,consulting,single,graduate,no,yes,no,male,$10k - $50k,silver,171,0,0
1005457,26,20s,unemployed,divorced,high school,no,no,no,female,Under $10k,silver,365,3,1
1005458,50,50s,administration,divorced,high school,no,yes,no,female,$10k - $50k,silver,328,3,1
1005459,31,30s,management,single,graduate,no,yes,no,male,$10k - $50k,silver,99,2,0
1005460,29,20s,manufacturing,married,graduate,no,yes,no,male,$100k - $250k,platinum,81,0,0
1005461,42,40s,administration,married,graduate,no,yes,no,male,$10k - $50k,silver,8,1,0
1005462,34,30s,technician,married,graduate,no,yes,yes,male,Over $250k,platinum,144,0,0
1005463,28,20s,unemployed,divorced,graduate,no,no,no,female,Under $10k,silver,346,3,0
1005464,41,40s,consulting,married,graduate,no,yes,no,female,$50k - $100k,gold,177,0,0
1005465,48,40s,management,single,college,no,yes,no,female,$100k - $250k,platinum,0,0,0
1005466,29,20s,consulting,married,graduate,no,yes,no,female,$100k - $250k,platinum,72,1,0
1005467,60,60s,technician,single,graduate,no,no,no,female,$50k - $100k,gold,25,1,0
1005468,50,50s,manufacturing,divorced,graduate,no,yes,no,female,$50k - $100k,gold,290,4,1
1005469,55,50s,manufacturing,married,unknown,no,no,no,female,$100k - $250k,platinum,149,2,0
1005470,49,40s,management,married,high school,no,yes,no,male,$50k - $100k,gold,72,2,0
1005471,27,20s,unemployed,divorced,graduate,no,yes,no,female,Under $10k,silver,298,3,1
1005472,26,20s,unemployed,divorced,graduate,no,yes,no,female,Under $10k,silver,357,3,1
1005473,45,40s,technician,married,graduate,no,yes,no,male,$10k - $50k,silver,126,2,0
1005474,41,40s,technician,single,high school,no,yes,no,female,Over $250k,platinum,63,0,0
1005475,43,40s,technician,married,graduate,no,no,no,female,$100k - $250k,platinum,158,1,0
1005476,53,50s,manufacturing,divorced,graduate,no,yes,yes,female,$50k - $100k,gold,283,4,1
1005477,38,30s,administration,divorced,graduate,no,no,no,male,$100k - $250k,platinum,112,1,0
1005478,40,40s,manufacturing,married,graduate,no,no,no,male,$100k - $250k,platinum,32,2,0
1005479,57,50s,manufacturing,married,graduate,no,no,yes,male,Over $250k,platinum,114,0,0
1005480,56,50s,management,married,graduate,no,yes,no,male,Over $250k,platinum,163,1,0
1005481,36,30s,technician,married,graduate,no,yes,no,male,$100k - $250k,platinum,124,2,0
1005482,64,60s,retired,divorced,graduate,no,no,no,male,$50k - $100k,gold,26,7,0
1005483,32,30s,administration,married,graduate,no,yes,no,male,$100k - $250k,platinum,50,5,0
1005484,56,50s,retired,married,college,no,no,no,female,$10k - $50k,silver,170,1,0
1005485,43,40s,technician,married,graduate,no,yes,no,female,$50k - $100k,gold,20,2,0
1005486,35,30s,manufacturing,single,high school,no,no,no,female,Over $250k,platinum,180,0,1
1005487,35,30s,management,single,high school,no,no,no,male,$100k - $250k,platinum,179,5,0
1005488,52,50s,manufacturing,married,graduate,no,no,no,male,$10k - $50k,silver,55,1,0
1005489,48,40s,self_employed,married,high school,no,no,no,male,$100k - $250k,platinum,124,2,0
1005490,50,50s,administration,married,graduate,no,yes,no,male,$10k - $50k,silver,122,0,0
1005491,35,30s,self_employed,married,graduate,no,no,no,male,Over $250k,platinum,134,8,0
1005492,52,50s,administration,divorced,college,no,yes,yes,female,$10k - $50k,silver,282,4,1
1005493,38,30s,manufacturing,married,graduate,no,yes,no,female,$100k - $250k,platinum,159,2,0
1005494,52,50s,technician,married,graduate,no,no,yes,male,$10k - $50k,silver,129,2,0
1005495,33,30s,consulting,single,high school,no,yes,no,female,Over $250k,platinum,116,0,0
1005496,27,20s,management,single,high school,no,no,no,male,$100k - $250k,platinum,40,2,0
1005497,30,30s,manufacturing,single,graduate,no,yes,yes,male,$100k - $250k,platinum,155,0,0
1005498,60,60s,technician,married,graduate,no,no,no,female,$50k - $100k,gold,13,6,0
1005499,23,20s,unemployed,divorced,graduate,no,yes,no,female,Under $10k,silver,251,3,0
1005500,47,40s,technician,married,graduate,no,yes,no,female,Over $250k,platinum,80,0,0
1005501,44,40s,manufacturing,single,college,no,no,no,male,$10k - $50k,silver,91,0,0
1005502,51,50s,manufacturing,married,graduate,no,yes,no,female,$100k - $250k,platinum,82,0,0
1005503,28,20s,manufacturing,single,graduate,no,yes,no,female,$10k - $50k,silver,60,0,0
1005504,36,30s,management,single,high school,no,yes,no,male,$10k - $50k,silver,53,0,0
1005505,42,40s,consulting,married,graduate,yes,no,no,female,$10k - $50k,silver,3,2,0
1005506,39,30s,manufacturing,married,college,no,no,no,male,$10k - $50k,silver,165,0,0
1005507,29,20s,administration,married,graduate,no,yes,no,female,Over $250k,platinum,79,0,0
1005508,33,30s,consulting,married,graduate,no,yes,no,female,$50k - $100k,gold,35,2,0
1005509,28,20s,unemployed,divorced,graduate,no,yes,no,female,Under $10k,silver,350,3,1
1005510,25,20s,manufacturing,married,college,no,yes,yes,male,$50k - $100k,gold,11,0,0
1005511,44,40s,management,married,high school,no,yes,no,female,$50k - $100k,gold,144,0,0
1005512,29,20s,unemployed,divorced,high school,no,yes,no,female,$10k - $50k,silver,260,3,1
1005513,54,50s,manufacturing,single,high school,no,yes,no,female,Over $250k,platinum,161,0,0
1005514,57,50s,management,divorced,graduate,no,yes,no,male,$50k - $100k,gold,358,4,1
1005515,44,40s,manufacturing,single,graduate,no,yes,no,female,$100k - $250k,platinum,35,0,0
1005516,27,20s,manufacturing,single,high school,no,no,no,female,Over $250k,platinum,42,0,0
1005517,26,20s,technician,single,graduate,no,no,yes,female,$50k - $100k,gold,15,1,0
1005518,34,30s,management,divorced,high school,no,yes,no,female,$100k - $250k,platinum,100,1,0
1005519,53,50s,administration,married,graduate,no,no,no,female,$50k - $100k,gold,24,1,0
1005520,23,20s,unemployed,divorced,high school,no,yes,yes,female,Under $10k,silver,352,3,1
1005521,60,60s,retired,married,college,no,no,no,female,$50k - $100k,gold,100,1,0
1005522,59,50s,management,divorced,high school,no,yes,no,female,$50k - $100k,gold,317,4,1
1005523,43,40s,technician,divorced,graduate,no,no,no,female,$10k - $50k,silver,16,1,0
1005524,47,40s,consulting,married,graduate,no,no,no,male,$10k - $50k,silver,46,1,0
1005525,38,30s,management,married,graduate,no,no,no,female,Over $250k,platinum,151,1,0
1005526,36,30s,technician,married,graduate,no,yes,yes,female,$50k - $100k,gold,109,0,0
1005527,39,30s,management,single,high school,no,yes,no,female,$100k - $250k,platinum,166,0,0
1005528,56,50s,administration,divorced,graduate,no,yes,no,female,$50k - $100k,gold,308,4,1
1005529,32,30s,management,married,high school,no,yes,no,female,$100k - $250k,platinum,39,1,0
1005530,34,30s,management,married,graduate,no,no,no,female,Over $250k,platinum,117,1,1
1005531,31,30s,consulting,single,graduate,no,yes,no,male,$10k - $50k,silver,6,0,0
1005532,54,50s,consulting,divorced,graduate,yes,yes,no,female,$10k - $50k,silver,212,4,1
1005533,39,30s,technician,married,graduate,no,yes,no,female,$100k - $250k,platinum,23,0,1
1005534,42,40s,self_employed,divorced,graduate,no,no,yes,female,Over $250k,platinum,6,1,0
1005535,53,50s,management,divorced,college,no,yes,no,female,$50k - $100k,gold,311,4,1
1005536,26,20s,student,single,graduate,no,no,no,male,$100k - $250k,platinum,109,5,1
1005537,58,50s,manufacturing,married,graduate,no,yes,no,female,Over $250k,platinum,107,1,0
1005538,23,20s,student,single,graduate,no,no,no,female,$10k - $50k,silver,153,5,0
1005539,56,50s,manufacturing,divorced,college,no,yes,yes,male,$50k - $100k,gold,344,4,1
1005540,32,30s,manufacturing,single,college,no,yes,no,male,$50k - $100k,gold,16,0,0
1005541,50,50s,entrepreneur,divorced,high school,no,yes,no,female,$50k - $100k,gold,258,4,1
1005542,37,30s,unknown,single,unknown,no,yes,no,female,$50k - $100k,gold,169,0,0
1005543,28,20s,unemployed,divorced,high school,no,yes,no,female,Under $10k,silver,232,3,1
1005544,39,30s,technician,married,high school,no,no,no,female,$100k - $250k,platinum,152,7,0
1005545,32,30s,consulting,married,graduate,no,yes,no,male,$100k - $250k,platinum,152,2,0
1005546,34,30s,management,single,high school,no,no,no,male,$50k - $100k,gold,97,1,0
1005547,48,40s,administration,single,high school,no,yes,no,female,Over $250k,platinum,37,0,0
1005548,31,30s,manufacturing,single,graduate,no,no,no,female,$100k - $250k,platinum,126,5,0
1005549,41,40s,manufacturing,married,graduate,no,yes,no,female,$10k - $50k,silver,45,2,0
1005550,32,30s,technician,single,graduate,no,no,no,female,Over $250k,platinum,42,1,0
1005551,56,50s,retired,divorced,graduate,no,yes,no,female,$50k - $100k,gold,120,0,0
1005552,37,30s,administration,single,graduate,no,yes,yes,female,$10k - $50k,silver,20,0,0
1005553,27,20s,management,single,high school,no,no,no,female,$100k - $250k,platinum,15,7,0
1005554,47,40s,unemployed,married,high school,no,no,yes,female,$10k - $50k,silver,122,2,0
1005555,36,30s,management,married,high school,no,yes,no,male,$50k - $100k,gold,148,0,0
1005556,37,30s,technician,married,graduate,no,no,no,male,$10k - $50k,silver,161,1,0
1005557,46,40s,administration,single,graduate,no,yes,no,male,$100k - $250k,platinum,178,0,0
1005558,53,50s,manufacturing,single,college,no,yes,no,male,$10k - $50k,silver,151,0,0
1005559,47,40s,unemployed,married,graduate,no,yes,no,female,$100k - $250k,platinum,66,2,0
1005560,57,50s,technician,married,graduate,no,no,no,female,Over $250k,platinum,52,1,1
1005561,29,20s,administration,divorced,graduate,no,yes,no,female,$10k - $50k,silver,330,3,1
1005562,29,20s,unemployed,divorced,graduate,no,no,no,female,$10k - $50k,silver,358,3,1
1005563,53,50s,unknown,married,college,no,no,no,male,$100k - $250k,platinum,121,5,0
1005564,45,40s,manufacturing,married,graduate,no,yes,no,male,$100k - $250k,platinum,28,1,0
1005565,31,30s,technician,single,high school,no,yes,no,male,$50k - $100k,gold,160,2,0
1005566,46,40s,technician,single,graduate,no,yes,no,male,Over $250k,platinum,143,5,0
1005567,24,20s,unemployed,divorced,college,no,yes,no,female,Under $10k,silver,260,3,1
1005568,47,40s,manufacturing,married,graduate,no,yes,no,male,$100k - $250k,platinum,68,2,0
1005569,30,30s,technician,single,graduate,no,no,no,male,Over $250k,platinum,151,1,0
1005570,33,30s,manufacturing,married,graduate,no,no,no,female,$50k - $100k,gold,84,5,0
1005571,63,60s,management,married,graduate,no,no,no,male,Over $250k,platinum,40,6,0
1005572,43,40s,manufacturing,single,college,no,yes,no,male,$100k - $250k,platinum,96,0,0
1005573,40,40s,manufacturing,married,graduate,no,yes,yes,male,Over $250k,platinum,163,0,0
1005574,41,40s,technician,married,graduate,no,no,no,male,$100k - $250k,platinum,161,1,1
1005575,33,30s,self_employed,married,high school,no,no,no,female,$100k - $250k,platinum,160,8,0
1005576,50,50s,administration,divorced,graduate,no,yes,no,female,$10k - $50k,silver,283,3,1
1005577,50,50s,technician,divorced,graduate,no,no,no,male,Over $250k,platinum,64,1,0
1005578,34,30s,consulting,married,graduate,no,no,yes,female,$100k - $250k,platinum,85,5,0
1005579,52,50s,self_employed,divorced,graduate,no,yes,no,male,$50k - $100k,gold,267,4,1
1005580,71,70s,retired,married,graduate,no,no,no,male,Over $250k,platinum,141,5,0
1005581,32,30s,technician,married,graduate,no,yes,no,male,Over $250k,platinum,29,1,0
1005582,53,50s,technician,married,graduate,no,no,yes,female,$100k - $250k,platinum,74,1,0
1005583,51,50s,administration,divorced,high school,no,yes,no,female,$10k - $50k,silver,290,3,1
1005584,44,40s,manufacturing,married,unknown,no,no,no,female,$100k - $250k,platinum,156,0,0
1005585,35,30s,manufacturing,married,graduate,no,yes,yes,female,$50k - $100k,gold,31,2,0
1005586,46,40s,manufacturing,single,graduate,no,yes,no,female,$100k - $250k,platinum,115,0,0
1005587,30,30s,self_employed,married,graduate,no,yes,yes,female,Over $250k,platinum,134,1,0
1005588,26,20s,manufacturing,single,graduate,no,no,no,female,$100k - $250k,platinum,97,1,0
1005589,33,30s,management,single,high school,no,yes,no,male,$50k - $100k,gold,70,0,0
1005590,33,30s,manufacturing,single,high school,no,yes,no,male,Over $250k,platinum,162,0,0
1005591,28,20s,management,single,high school,no,no,no,female,$10k - $50k,silver,74,7,0
1005592,42,40s,management,married,college,no,yes,no,female,$100k - $250k,platinum,154,5,0
1005593,22,20s,administration,divorced,high school,no,yes,no,female,$10k - $50k,silver,247,3,1
1005594,54,50s,manufacturing,divorced,college,no,no,no,female,$100k - $250k,platinum,78,0,0
1005595,56,50s,technician,divorced,graduate,no,no,no,male,$50k - $100k,gold,164,8,0
1005596,44,40s,manufacturing,divorced,graduate,no,yes,no,female,Over $250k,platinum,85,0,0
1005597,43,40s,administration,married,graduate,no,no,no,female,Over $250k,platinum,109,1,0
1005598,53,50s,manufacturing,married,graduate,no,no,no,male,$10k - $50k,silver,168,1,0
1005599,39,30s,manufacturing,single,graduate,no,yes,no,male,$10k - $50k,silver,7,0,0
1005600,24,20s,administration,divorced,college,no,yes,no,female,$10k - $50k,silver,281,3,1
1005601,31,30s,manufacturing,married,college,no,yes,yes,female,$10k - $50k,silver,14,0,0
1005602,39,30s,consulting,married,graduate,no,yes,yes,female,$10k - $50k,silver,32,0,0
1005603,26,20s,manufacturing,single,graduate,no,yes,no,female,Over $250k,platinum,89,2,0
1005604,34,30s,technician,married,high school,no,no,no,female,$10k - $50k,silver,88,1,0
1005605,24,20s,manufacturing,single,graduate,no,yes,no,female,$50k - $100k,gold,14,0,0
1005606,53,50s,administration,divorced,high school,no,yes,no,female,$10k - $50k,silver,258,3,1
1005607,56,50s,entrepreneur,single,high school,no,yes,no,female,Over $250k,platinum,91,0,0
1005608,36,30s,administration,married,graduate,no,yes,no,male,$50k - $100k,gold,60,0,0
1005609,26,20s,consulting,single,graduate,no,no,no,female,Over $250k,platinum,163,2,0
1005610,55,50s,management,divorced,high school,no,yes,no,female,$10k - $50k,silver,345,4,1
1005611,28,20s,entrepreneur,married,high school,no,no,no,female,$10k - $50k,silver,139,2,0
1005612,54,50s,technician,married,graduate,no,no,no,male,$10k - $50k,silver,159,6,0
1005613,34,30s,management,single,high school,no,no,no,male,$100k - $250k,platinum,45,5,0
1005614,25,20s,unemployed,divorced,graduate,no,no,no,female,Under $10k,silver,364,3,1
1005615,57,50s,management,married,high school,no,no,no,male,$10k - $50k,silver,1,2,0
1005616,36,30s,management,married,graduate,no,no,no,female,$50k - $100k,gold,45,0,0
1005617,40,40s,manufacturing,married,graduate,no,no,no,female,Over $250k,platinum,56,0,0
1005618,45,40s,entrepreneur,married,high school,no,yes,yes,female,$100k - $250k,platinum,91,2,0
1005619,38,30s,manufacturing,married,graduate,no,yes,no,female,Over $250k,platinum,85,0,0
1005620,42,40s,manufacturing,married,graduate,no,yes,yes,female,$100k - $250k,platinum,103,2,0
1005621,48,40s,technician,married,graduate,no,no,no,male,$100k - $250k,platinum,14,2,0
1005622,26,20s,administration,divorced,high school,no,yes,no,female,$10k - $50k,silver,351,3,1
1005623,35,30s,technician,married,graduate,no,yes,no,female,Over $250k,platinum,107,1,0
1005624,49,40s,technician,single,graduate,no,yes,no,female,Over $250k,platinum,6,5,0
1005625,31,30s,technician,married,high school,no,no,no,female,$10k - $50k,silver,110,1,0
1005626,37,30s,consulting,divorced,graduate,no,no,no,female,$100k - $250k,platinum,32,0,1
1005627,34,30s,manufacturing,married,graduate,no,yes,no,male,$10k - $50k,silver,90,1,0
1005628,37,30s,manufacturing,single,high school,no,yes,no,female,Over $250k,platinum,13,0,0
1005629,34,30s,consulting,married,graduate,no,yes,no,female,Over $250k,platinum,23,0,1
1005630,51,50s,entrepreneur,married,graduate,no,no,yes,female,Over $250k,platinum,92,0,0
1005631,22,20s,unemployed,divorced,high school,no,no,no,female,Under $10k,silver,277,3,1
1005632,45,40s,technician,married,graduate,no,yes,no,male,$10k - $50k,silver,35,6,0
1005633,37,30s,management,single,high school,no,yes,no,male,$50k - $100k,gold,132,0,0
1005634,47,40s,consulting,married,graduate,no,no,no,female,$50k - $100k,gold,150,0,0
1005635,43,40s,management,married,graduate,no,yes,no,female,Over $250k,platinum,174,2,0
1005636,52,50s,manufacturing,divorced,college,no,yes,yes,male,$50k - $100k,gold,258,4,1
1005637,57,50s,management,married,high school,no,yes,no,female,$100k - $250k,platinum,102,6,0
1005638,60,60s,retired,married,graduate,no,no,no,male,Over $250k,platinum,38,1,0
1005639,44,40s,consulting,single,high school,no,no,yes,female,Over $250k,platinum,43,0,0
1005640,46,40s,entrepreneur,married,high school,no,no,no,male,$10k - $50k,silver,116,7,0
1005641,43,40s,manufacturing,married,college,no,no,yes,female,$50k - $100k,gold,60,0,0
1005642,55,50s,self_employed,married,graduate,no,no,no,female,$50k - $100k,gold,37,1,0
1005643,52,50s,management,married,high school,no,yes,no,female,$100k - $250k,platinum,58,2,1
1005644,40,40s,technician,married,graduate,no,no,no,female,$100k - $250k,platinum,94,2,0
